page,section,component,current_copy,purpose,classification,issue,recommended_action,proposed_copy,seo_sensitive,factual_dependency,notes
/servicios/*,whatsappMessage,src/data/servicePages.ts:461,"Hola, estoy en Carepa y quiero consultar por extracción de cordales. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre extracción de cordales. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:467,Urgencias odontológicas en Carepa | Dolor dental e inflamación,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias odontológicas en Carepa | Dolor dental e inflamación,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:469,"Consulta disponibilidad para urgencias odontológicas en Carepa por dolor dental, inflamación, fractura o restauración caída. Orientación por WhatsApp.",Search snippet,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Consulta disponibilidad para urgencias odontológicas en Carepa por dolor, inflamación, fractura o una restauración caída.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:472,"Si tienes dolor dental, inflamación, trauma o una restauración caída, puedes escribir por WhatsApp para revisar disponibilidad. La orientación inicial no reemplaza una valoración profesional.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Si tienes dolor, inflamación, un golpe o una restauración caída, escribe por WhatsApp para consultar disponibilidad. No hacemos diagnósticos por chat.",yes,no,
/servicios/*,question,src/data/servicePages.ts:490,¿Atienden 24/7?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Atienden 24/7?,yes,yes,
/servicios/*,answer,src/data/servicePages.ts:492,No se promete atención 24/7. La disponibilidad debe confirmarse por WhatsApp.,Patient FAQ,NEEDS-CLIENT-FACT,Prudent placeholder depends on a confirmed client fact,KEEP UNTIL CONFIRMED,No se promete atención 24/7. La disponibilidad debe confirmarse por WhatsApp.,yes,yes,
/servicios/*,question,src/data/servicePages.ts:495,¿Qué debo escribir si tengo dolor?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Qué debo escribir si tengo dolor?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:497,"Indica dónde duele, desde cuándo, intensidad, inflamación, fiebre o si hubo trauma.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"Indica dónde duele, desde cuándo, intensidad, inflamación, fiebre o si hubo trauma.",yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:501,"Hola, estoy en Carepa y tengo una urgencia odontológica. ¿Me pueden orientar con disponibilidad de atención?",Prefilled WhatsApp message,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Hola, tengo una urgencia odontológica. ¿Tienen disponibilidad para atenderme?",yes,no,
/servicios/*,title,src/data/servicePages.ts:507,Odontología familiar en Carepa | Cuidado oral para la familia,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Odontología familiar en Carepa | Cuidado oral para la familia,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:509,Agenda por WhatsApp valoración de odontología familiar en Carepa. Atención preventiva y restaurativa con orientación clara para diferentes etapas.,Search snippet,REWRITE,Overexplained or difficult to scan,REWRITE,Agenda por WhatsApp una consulta de odontología familiar en Carepa. Atención preventiva y restaurativa para distintas edades.,yes,no,
/servicios/*,intro,src/data/servicePages.ts:512,La odontología familiar reúne cuidado preventivo y restaurativo para diferentes etapas de la vida. La valoración ayuda a definir prioridades y hábitos de cuidado oral en casa.,Information / orientation,REWRITE,Overexplained or difficult to scan,REWRITE,"La odontología familiar incluye revisión, prevención y restauraciones para distintas edades. En consulta definimos qué conviene atender primero.",yes,no,
/servicios/*,question,src/data/servicePages.ts:530,¿Puedo consultar por varios integrantes de la familia?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Puedo consultar por varios integrantes de la familia?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:532,Sí. Puedes escribir por WhatsApp y contar cuántas personas necesitan orientación o valoración.,Patient FAQ,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Sí. Escribe por WhatsApp cuántas personas necesitan una consulta.,yes,no,
/servicios/*,question,src/data/servicePages.ts:535,¿La atención familiar incluye urgencias?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿La atención familiar incluye urgencias?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:537,"Si hay dolor, inflamación o trauma, se debe revisar disponibilidad como urgencia por WhatsApp.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"Si hay dolor, inflamación o trauma, se debe revisar disponibilidad como urgencia por WhatsApp.",yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:541,"Hola, estoy en Carepa y quiero consultar por odontología familiar. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera agendar una consulta de odontología familiar. ¿Tienen disponibilidad?",yes,no,
sitewide/shared,seoTitle,src/data/site.ts:127,Odontología en Carepa | Valoración odontológica y salud oral,Search snippet,SEO-KEEP,Clear search intent and local relevance,KEEP,Odontología en Carepa | Valoración odontológica y salud oral,yes,no,
sitewide/shared,seoDescription,src/data/site.ts:129,"Agenda tu valoración odontológica en Carepa. Atención con cita previa, orientación clara y servicios de salud oral para pacientes locales.",Search snippet,SHORTEN,Overexplained or difficult to scan,SHORTEN,Consulta servicios de odontología en Carepa y agenda una valoración por WhatsApp con la Dra. Nataly Jiménez.,yes,no,
sitewide/shared,name,src/data/site.ts:145,Dra. Nataly Jiménez,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Dra. Nataly Jiménez,yes,no,
sitewide/shared,title,src/data/site.ts:146,"Odontología general, estética y especializada.",Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,"Odontología general, estética y especializada.",yes,no,
sitewide/shared,intro,src/data/site.ts:148,"Atención odontológica con enfoque claro, humano y responsable para pacientes de Carepa y la región de Urabá.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Nataly atiende odontología general y estética en Carepa.,yes,no,
sitewide/shared,quote,src/data/site.ts:150,"Antes de iniciar cualquier tratamiento, lo más importante es entender qué necesitas y explicarte las opciones con claridad.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,Primero revisamos qué necesitas. Después hablamos de las opciones.,yes,no,
sitewide/shared,title,src/data/site.ts:160,Escuchar primero,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Escuchar primero,yes,no,
sitewide/shared,description,src/data/site.ts:162,"Cada atención inicia entendiendo tu motivo de consulta, tus dudas y lo que esperas mejorar.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"La consulta comienza por lo que sientes, lo que te preocupa o lo que quieres cambiar.",yes,no,
sitewide/shared,title,src/data/site.ts:165,Explicar con claridad,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Explicar con claridad,yes,no,
sitewide/shared,description,src/data/site.ts:167,"El plan se conversa de forma sencilla, sin presiones y según lo que se observe en la valoración.",Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Te contamos qué encontramos y qué alternativas corresponden a tu caso.,yes,no,
sitewide/shared,title,src/data/site.ts:170,Cuidar con responsabilidad,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Definir el siguiente paso,yes,no,
sitewide/shared,description,src/data/site.ts:172,Las recomendaciones dependen de una revisión profesional y de las necesidades reales de cada paciente.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,El tratamiento solo se define después de revisar tu salud oral.,yes,no,
sitewide/shared,title,src/data/site.ts:178,Atención clara,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Atención clara,yes,no,
sitewide/shared,description,src/data/site.ts:179,"Valoraciones sin presiones, con explicaciones fáciles de entender.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Te explicamos qué encontramos y cuáles son las opciones.,yes,no,
sitewide/shared,title,src/data/site.ts:182,Bioseguridad,Heading / scanning,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Cita previa,yes,no,
sitewide/shared,description,src/data/site.ts:183,Protocolos de higiene y cuidado pensados para una atención responsable.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,La disponibilidad y los datos de la cita se confirman por WhatsApp.,yes,no,
sitewide/shared,title,src/data/site.ts:186,Estética y función,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Estética y función,yes,no,
sitewide/shared,description,src/data/site.ts:187,"Tratamientos orientados a salud oral, armonía dental y comodidad diaria.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Opciones que consideran la salud oral, la forma y la función.",yes,no,
sitewide/shared,title,src/data/site.ts:190,Acompañamiento,Heading / scanning,REWRITE,Abstract or agency-like phrasing,REWRITE,Siguiente paso,yes,no,
sitewide/shared,description,src/data/site.ts:191,"Desde la valoración conoces opciones, tiempos y pasos del tratamiento.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Después de la valoración conoces las opciones y los pasos del tratamiento.,yes,no,
sitewide/shared,title,src/data/site.ts:197,Limpieza dental,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Limpieza dental,yes,no,
sitewide/shared,badge,src/data/site.ts:198,Preventivo,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Preventivo,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:200,"Cuidado preventivo para revisar placa, encías y hábitos de higiene.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Cuidado preventivo para revisar placa, encías y hábitos de higiene.",yes,no,
sitewide/shared,description,src/data/site.ts:202,Profilaxis y cuidado preventivo para mantener en buen estado tus dientes y encía.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Profilaxis y cuidado preventivo para mantener en buen estado tus dientes y encía.,yes,no,
sitewide/shared,alt,src/data/site.ts:204,Imagen referencial de limpieza dental en consultorio odontológico,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de limpieza dental en consultorio odontológico,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:206,"Hola, estoy en Carepa y quiero consultar por una limpieza dental. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre limpieza dental. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:210,Blanqueamiento dental,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Blanqueamiento dental,yes,no,
sitewide/shared,badge,src/data/site.ts:211,Estético,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Estético,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:213,Orientación estética para aclarar el tono dental de forma responsable.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Opciones para aclarar el tono de los dientes, según tu salud oral.",yes,no,
sitewide/shared,description,src/data/site.ts:215,Opciones de aclaramiento dental evaluadas según tu caso y sensibilidad.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Opciones de aclaramiento dental evaluadas según tu caso y sensibilidad.,yes,no,
sitewide/shared,alt,src/data/site.ts:217,Imagen referencial de blanqueamiento dental,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de blanqueamiento dental,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:219,"Hola, estoy en Carepa y quiero consultar por blanqueamiento dental. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre blanqueamiento dental. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:223,Resinas estéticas,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Resinas estéticas,yes,no,
sitewide/shared,badge,src/data/site.ts:224,Restaurativo,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Restaurativo,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:226,Restauraciones del color del diente para mejorar forma y función.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Restauraciones del color del diente para mejorar forma y función.,yes,no,
sitewide/shared,description,src/data/site.ts:228,"Restauraciones del color del diente para mejorar forma, función y apariencia.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Restauraciones del color del diente para mejorar forma, función y apariencia.",yes,no,
sitewide/shared,alt,src/data/site.ts:230,Imagen referencial de resinas estéticas dentales,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de resinas estéticas dentales,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:232,"Hola, estoy en Carepa y quiero consultar por resinas estéticas. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre resinas estéticas. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:236,Diseño de sonrisa,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Diseño de sonrisa,yes,no,
sitewide/shared,badge,src/data/site.ts:237,Estético,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Estético,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:239,Valoración estética para planear cambios armónicos y realistas.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Revisión de la sonrisa para conocer qué cambios son posibles.,yes,no,
sitewide/shared,description,src/data/site.ts:241,Valoración estética responsable para planear cambios armónicos y realistas.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Revisión de la salud oral y de los cambios que te gustaría hacer.,yes,no,
sitewide/shared,alt,src/data/site.ts:243,Imagen referencial de diseño de sonrisa,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de diseño de sonrisa,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:245,"Hola, estoy en Carepa y quiero consultar por diseño de sonrisa. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre diseño de sonrisa. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:249,Ortodoncia,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Ortodoncia,yes,no,
sitewide/shared,badge,src/data/site.ts:250,Funcional,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Funcional,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:252,"Revisión de alineación dental, mordida y alternativas de manejo.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Revisión de alineación dental, mordida y alternativas de manejo.",yes,no,
sitewide/shared,description,src/data/site.ts:254,Acompañamiento para alinear dientes y mordida según diagnóstico profesional.,Information / orientation,REWRITE,Abstract or agency-like phrasing,REWRITE,"Opciones para alinear los dientes y corregir la mordida, según el diagnóstico.",yes,no,
sitewide/shared,alt,src/data/site.ts:256,Imagen referencial de ortodoncia,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de ortodoncia,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:258,"Hola, estoy en Carepa y quiero consultar por ortodoncia. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre ortodoncia. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:262,Prótesis dentales,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Prótesis dentales,yes,no,
sitewide/shared,badge,src/data/site.ts:263,Restaurativo,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Restaurativo,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:265,Alternativas para recuperar piezas dentales y comodidad al masticar.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Alternativas para recuperar piezas dentales y comodidad al masticar.,yes,no,
sitewide/shared,description,src/data/site.ts:267,"Alternativas para recuperar piezas dentales, función masticatoria y seguridad al sonreír.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Alternativas para reemplazar piezas dentales y recuperar la función al masticar.,yes,no,
sitewide/shared,alt,src/data/site.ts:269,Imagen referencial de prótesis dentales,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de prótesis dentales,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:271,"Hola, estoy en Carepa y quiero consultar por prótesis dentales. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre prótesis dentales. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:275,Endodoncia,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Endodoncia,yes,no,
sitewide/shared,badge,src/data/site.ts:276,Especializado,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Especializado,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:278,"Valoración para dolor, sensibilidad o molestias internas del diente.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Revisión de dolor, sensibilidad o molestias internas del diente.",yes,no,
sitewide/shared,description,src/data/site.ts:280,Orientación para revisar si una molestia dental requiere manejo especializado.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consulta para saber si una molestia necesita tratamiento de conducto.,yes,no,
sitewide/shared,alt,src/data/site.ts:282,Imagen referencial de valoración odontológica especializada,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de valoración odontológica especializada,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:284,"Hola, estoy en Carepa y quiero consultar por endodoncia. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre endodoncia. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:288,Implantología,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Implantología,yes,no,
sitewide/shared,badge,src/data/site.ts:289,Rehabilitación,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Rehabilitación,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:291,Orientación para revisar alternativas ante piezas dentales ausentes.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consulta sobre implantes para reemplazar piezas dentales ausentes.,yes,no,
sitewide/shared,description,src/data/site.ts:293,Valoración para revisar si los implantes dentales son una alternativa según tu caso.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Valoración para revisar si los implantes dentales son una alternativa según tu caso.,yes,no,
sitewide/shared,alt,src/data/site.ts:295,Imagen referencial de rehabilitación oral e implantología,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de rehabilitación oral e implantología,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:297,"Hola, estoy en Carepa y quiero consultar por implantología. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre implantes dentales. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:301,Armonización orofacial,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Armonización orofacial,yes,no,
sitewide/shared,badge,src/data/site.ts:302,Estético,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Estético,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:304,Consulta estética responsable con valoración previa y expectativas claras.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Consulta para revisar cambios estéticos en el rostro.,yes,no,
sitewide/shared,description,src/data/site.ts:306,Orientación para procedimientos de armonización orofacial según valoración profesional.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Procedimientos de armonización orofacial definidos después de la valoración.,yes,no,
sitewide/shared,alt,src/data/site.ts:308,Imagen referencial de atención estética odontológica,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de atención estética odontológica,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:310,"Hola, estoy en Carepa y quiero consultar por armonización orofacial. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre armonización orofacial. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:314,Extracción de cordales,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Extracción de cordales,yes,no,
sitewide/shared,badge,src/data/site.ts:315,Cirugía,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Cirugía,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:317,"Valoración de terceros molares, molestias, inflamación o indicación quirúrgica.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Revisión de cordales cuando hay molestia, inflamación o indicación de extracción.",yes,no,
sitewide/shared,description,src/data/site.ts:319,Orientación para revisar cordales y definir el manejo adecuado según diagnóstico.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Revisión de los terceros molares para definir si requieren extracción.,yes,no,
sitewide/shared,alt,src/data/site.ts:321,Imagen referencial de valoración para extracción de cordales,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de valoración para extracción de cordales,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:323,"Hola, estoy en Carepa y quiero consultar por extracción de cordales. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre extracción de cordales. ¿Tienen disponibilidad para una valoración?",yes,no,
sitewide/shared,title,src/data/site.ts:327,Urgencias odontológicas,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias odontológicas,yes,no,
sitewide/shared,badge,src/data/site.ts:328,Urgencia,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Urgencia,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:330,"Orientación para dolor, inflamación, fracturas o restauraciones caídas.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Atención de dolor, inflamación, fracturas o restauraciones caídas.",yes,no,
sitewide/shared,description,src/data/site.ts:332,"Orientación para dolor, inflamación, fracturas o restauraciones caídas.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Consulta por dolor, inflamación, fracturas o restauraciones caídas.",yes,no,
sitewide/shared,alt,src/data/site.ts:334,Imagen referencial de urgencias odontológicas,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de urgencias odontológicas,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:336,"Hola, estoy en Carepa y tengo una urgencia odontológica. ¿Me pueden orientar con disponibilidad de atención?",Prefilled WhatsApp message,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Hola, tengo una urgencia odontológica. ¿Tienen disponibilidad para atenderme?",yes,no,
sitewide/shared,title,src/data/site.ts:340,Odontología familiar,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Odontología familiar,yes,no,
sitewide/shared,badge,src/data/site.ts:341,Familiar,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Familiar,yes,no,
sitewide/shared,featuredSummary,src/data/site.ts:343,Atención preventiva y restaurativa para diferentes etapas de la familia.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Atención preventiva y restaurativa para diferentes etapas de la familia.,yes,no,
sitewide/shared,description,src/data/site.ts:345,Atención preventiva y restaurativa para diferentes etapas de la familia.,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Atención preventiva y restaurativa para diferentes etapas de la familia.,yes,no,
sitewide/shared,alt,src/data/site.ts:347,Imagen referencial de odontología familiar,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Imagen referencial de odontología familiar,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:349,"Hola, estoy en Carepa y quiero consultar por odontología familiar. ¿Me pueden orientar con disponibilidad para una cita?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera agendar una consulta de odontología familiar. ¿Tienen disponibilidad?",yes,no,
sitewide/shared,title,src/data/site.ts:354,Escribes por WhatsApp,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Escribes por WhatsApp,yes,no,
sitewide/shared,description,src/data/site.ts:356,"Cuéntanos qué sientes, qué te preocupa o qué cambio te gustaría revisar.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Cuéntanos qué sientes, qué te preocupa o qué cambio te gustaría revisar.",yes,no,
sitewide/shared,reassurance,src/data/site.ts:357,No necesitas saber el nombre del tratamiento.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,No tienes que saber el nombre del tratamiento.,yes,no,
sitewide/shared,title,src/data/site.ts:360,Agendamos tu valoración,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Agendamos tu valoración,yes,no,
sitewide/shared,description,src/data/site.ts:362,Revisamos disponibilidad y te indicamos la información necesaria para asistir.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Revisamos disponibilidad y te enviamos los datos de la cita.,yes,no,
sitewide/shared,reassurance,src/data/site.ts:363,Puedes escribir primero y decidir con calma.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Puedes preguntar antes de agendar.,yes,no,
sitewide/shared,title,src/data/site.ts:366,Recibes diagnóstico y plan,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Recibes diagnóstico y plan,yes,no,
sitewide/shared,description,src/data/site.ts:368,"Después de la revisión conoces hallazgos, opciones y siguientes pasos.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Después de la revisión conoces hallazgos, opciones y siguientes pasos.",yes,no,
sitewide/shared,reassurance,src/data/site.ts:369,La valoración define el camino adecuado.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,La revisión define el siguiente paso.,yes,no,
sitewide/shared,label,src/data/site.ts:382,Tengo dolor dental,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Tengo dolor dental,yes,no,
sitewide/shared,summary,src/data/site.ts:383,"Te conviene escribir describiendo intensidad, zona y desde cuándo inició.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Te conviene escribir describiendo intensidad, zona y desde cuándo inició.",yes,no,
sitewide/shared,guidance,src/data/site.ts:385,No reemplaza una valoración. Con esa información pueden orientarte sobre disponibilidad y el siguiente paso responsable.,Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,Con esa información podemos entender mejor el caso antes de confirmar la cita.,yes,no,
sitewide/shared,whatsappMessage,src/data/site.ts:387,"Hola, estoy en Carepa y quiero agendar una valoración. Mi motivo de consulta es: tengo dolor dental. ¿Me pueden orientar con disponibilidad?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, tengo dolor dental. ¿Tienen disponibilidad para valorarme?",yes,no,
sitewide/shared,label,src/data/site.ts:391,Quiero mejorar mi sonrisa,Action / choice,KEEP,"Already clear, useful and natural enough",KEEP,Quiero mejorar mi sonrisa,yes,no,
